Type,Transport,Value
End,台北捷運MRT,G08-台電大樓
End,台北捷運MRT,G07-公館(台灣大學)
End,台北捷運MRT,G06-萬隆
End,台北捷運MRT,G05-景美
End,台北捷運MRT,G04-大坪林
End,台北捷運MRT,G03-七張
End,台北捷運MRT,G02-新店區公所
End,台北捷運MRT,G01-新店(碧潭)
End,台北捷運MRT,G03A-小碧潭(新店高中)
End,台北捷運MRT,O54-蘆洲(蘆洲李宅)
End,台北捷運MRT,O53-三民高中(空中大學)
End,台北捷運MRT,O52-徐匯中學
End,台北捷運MRT,O51-三和國中
End,台北捷運MRT,O50-三重國小
End,台北捷運MRT,O21-迴龍(樂生)
End,台北捷運MRT,O20-丹鳳
End,台北捷運MRT,O19-輔大
End,台北捷運MRT,O18-新莊(新莊廟街)
End,台北捷運MRT,O17-頭前庄(臺北醫院)
End,台北捷運MRT,O16-先嗇宮
End,台北捷運MRT,O15-三重
End,台北捷運MRT,O14-菜寮(新北市立醫院)
End,台北捷運MRT,O13-台北橋
End,台北捷運MRT,O12-大橋頭(大橋國小)
End,台北捷運MRT,O11-民權西路
End,台北捷運MRT,O10-中山國小(晴光商圈)
End,台北捷運MRT,O09-行天宮
End,台北捷運MRT,O08-松江南京
End,台北捷運MRT,O07-忠孝新生(台北科大)
End,台北捷運MRT,O06-東門
End,台北捷運MRT,O05-古亭
End,台北捷運MRT,O04-頂溪
End,台北捷運MRT,O03-永安市場
End,台北捷運MRT,O02-景安
End,台北捷運MRT,O01-南勢角
End,台北捷運MRT,BL23-南港展覽館
End,台北捷運MRT,BL22-南港
End,台北捷運MRT,BL21-昆陽
End,台北捷運MRT,BL20-後山埤(五分埔商圈)
End,台北捷運MRT,BL19-永春
End,台北捷運MRT,BL18-市政府
End,台北捷運MRT,BL17-國父紀念館
End,台北捷運MRT,BL16-忠孝敦化
End,台北捷運MRT,BL15-忠孝復興
End,台北捷運MRT,BL14-忠孝新生(台北科大)
End,台北捷運MRT,BL13-善導寺(華山)
End,台北捷運MRT,BL12-台北車站
End,台北捷運MRT,BL11-西門
End,台北捷運MRT,BL10-龍山寺(艋舺商圈)
End,台北捷運MRT,BL09-江子翠
End,台北捷運MRT,BL08-新埔
End,台北捷運MRT,BL07-板橋
End,台北捷運MRT,BL06-府中(林家花園)
End,台北捷運MRT,BL05-亞東醫院
End,台北捷運MRT,BL04-海山(新北高工)
End,台北捷運MRT,BL03-土城
End,台北捷運MRT,BL02-永寧
End,台北捷運MRT,BL01-頂埔
End,台北捷運MRT,Y07-大坪林
End,台北捷運MRT,Y08-十四張(莊敬高職)
End,台北捷運MRT,Y09-秀朗橋
End,台北捷運MRT,Y10-景平
End,台北捷運MRT,Y11-景安
End,台北捷運MRT,Y12-中和
End,台北捷運MRT,Y13-橋和
End,台北捷運MRT,Y14-中原
End,台北捷運MRT,Y15-板新
End,台北捷運MRT,Y16-板橋
End,台北捷運MRT,Y17-新埔民生
End,台北捷運MRT,Y18-頭前庄(臺北醫院)
End,台北捷運MRT,Y19-幸福
End,台北捷運MRT,Y20-新北產業園區
Transport,,機場捷運A-MRT
Start,機場捷運A-MRT,A1-台北車站
Start,機場捷運A-MRT,A3-新北產業園區
Start,機場捷運A-MRT,A4-新莊副都心
Start,機場捷運A-MRT,A5-泰山
Start,機場捷運A-MRT,A6-泰山貴和(明志科大)
Start,機場捷運A-MRT,A7-體育大學(龜山樂善)
Start,機場捷運A-MRT,A8-長庚醫院
Start,機場捷運A-MRT,A9-林口
Start,機場捷運A-MRT,A10-山鼻
Start,機場捷運A-MRT,A11-坑口
Start,機場捷運A-MRT,A12-機場第一航廈
Start,機場捷運A-MRT,A13-機場第二航廈
Start,機場捷運A-MRT,A14a-機場旅館
Start,機場捷運A-MRT,A15-大園
Start,機場捷運A-MRT,A16-橫山
Start,機場捷運A-MRT,A17-領航(大園國際高中)
Start,機場捷運A-MRT,A18-高鐵桃園站
Start,機場捷運A-MRT,A19-桃園體育園區
Start,機場捷運A-MRT,A20-興南
Start,機場捷運A-MRT,A21-環北
Start,機場捷運A-MRT,A22-老街溪
End,機場捷運A-MRT,A1-台北車站
End,機場捷運A-MRT,A3-新北產業園區
End,機場捷運A-MRT,A4-新莊副都心
End,機場捷運A-MRT,A5-泰山
End,機場捷運A-MRT,A6-泰山貴和(明志科大)
End,機場捷運A-MRT,A7-體育大學(龜山樂善)
End,機場捷運A-MRT,A8-長庚醫院
End,機場捷運A-MRT,A9-林口
End,機場捷運A-MRT,A10-山鼻
End,機場捷運A-MRT,A11-坑口
End,機場捷運A-MRT,A12-機場第一航廈
End,機場捷運A-MRT,A13-機場第二航廈
End,機場捷運A-MRT,A14a-機場旅館
End,機場捷運A-MRT,A15-大園
End,機場捷運A-MRT,A16-橫山
End,機場捷運A-MRT,A17-領航(大園國際高中)
End,機場捷運A-MRT,A18-高鐵桃園站
End,機場捷運A-MRT,A19-桃園體育園區
End,機場捷運A-MRT,A20-興南
End,機場捷運A-MRT,A21-環北
End,機場捷運A-MRT,A22-老街溪
